# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4629
#@/user_id	8153c35b-79e8-4496-b5ef-103168ff7e21
a 	啊	c=5 d=0.503807 t=4629
mei tian mian lin 	每天面臨	c=1 d=1 t=1154
mei tong ku ma 	每痛苦嗎	c=1 d=1 t=1669
mei yi ge 	每一個	c=1 d=1 t=3635
mei you 	沒有	c=16 d=2.38886 t=3909
mei you a 	沒有啊	c=1 d=1 t=56
mei you ji shu 	沒有技術	c=1 d=1 t=1478
mei you le 	没有了	c=1 d=1 t=2325
mei you ren 	沒有人	c=0 d=0.1 t=1116
mei you ren shi 	沒有人是	c=1 d=1 t=1117
mei you shen me 	沒有什麼	c=0 d=0.0873716 t=4629
mei you shen me gang wei 	沒有什麼崗位	c=1 d=1 t=802
mei you shen me ren 	沒有什麼人	c=1 d=0.878095 t=4629
mei you ting shuo ni qu guo 	沒有聽說你去過	c=1 d=1 t=1282
mei you zhong da bian qian 	沒有重大變遷	c=1 d=1 t=1223
mei you zi chan 	沒有資產	c=1 d=1 t=1646
mei zi 	妹子	c=0 d=0.1 t=1176
mei zi tai shao 	妹子太少	c=1 d=1 t=1177
men chuang 	門窗	c=1 d=1 t=2797
men ci 	門磁	c=1 d=1 t=2799
men kan 	門檻	c=1 d=1 t=985
meng meng 	萌萌	c=6 d=4.98192 t=4454
mi jue 	祕訣	c=1 d=1 t=853
mi ma 	密碼	c=1 d=1 t=4607
mian 	眠	c=1 d=1 t=1634
mian lin 	面臨	c=0 d=0.1 t=1153
mian shi 	面試	c=2 d=1.27527 t=1993
mian shi ti 	面试题	c=1 d=1 t=2070
mian xiang 	面向	c=1 d=1 t=190
miao 	秒	c=1 d=1 t=2223
mie 	滅	c=0 d=0.1 t=907
ming 	名	c=13 d=2.61375 t=3720
ming 	命	c=1 d=1 t=2232
ming 	明	c=1 d=1 t=3047
ming bai 	明白	c=1 d=1 t=1532
ming cheng 	名稱	c=2 d=1.00395 t=4603
ming ling 	命令	c=4 d=1.9802 t=3237
ming ling hang 	命令行	c=4 d=3.88005 t=250
ming ming 	命名	c=10 d=8.71024 t=3311
ming xi 	明晰	c=1 d=1 t=1539
ming yue 	明月	c=1 d=1 t=4367
ming yun 	命運	c=1 d=1 t=2330
ming zhao 	明朝	c=1 d=1 t=1635
ming zi 	名字	c=3 d=1.41349 t=3629
mo ca 	摩擦	c=1 d=1 t=4482
mo ca yin 	摩擦音	c=2 d=1.96079 t=4487
mo hu 	模糊	c=1 d=1 t=4393
mo hu yin 	模糊音	c=1 d=1 t=4538
mo ming 	莫名	c=1 d=1 t=2581
mo na ge 	摩納哥	c=0 d=0.1 t=4401
mo na ge mo na ge 	摩納哥摩納哥	c=4 d=2.94279 t=4508
mo ni 	模擬	c=0 d=0.1 t=3375
mo ni wang ye 	模擬網頁	c=1 d=1 t=3376
mo ren 	默認	c=3 d=0.100109 t=3931
mo ren bian ma 	默認編碼	c=1 d=1 t=3932
mo shi 	模式	c=5 d=1.00037 t=3699
mo xing 	模型	c=1 d=1 t=666
mou 	某	c=1 d=1 t=123
mou ge 	某個	c=1 d=1 t=131
mou hang 	某行	c=1 d=1 t=152
mou ren 	某人	c=1 d=1 t=799
mou zhong 	某種	c=1 d=1 t=3170
mu biao 	目標	c=9 d=1.74608 t=3740
mu de 	目的	c=1 d=1 t=4010
mu lu 	目錄	c=1 d=1 t=3771
mu qin 	母親	c=1 d=1 t=2352
na ge 	哪個	c=1 d=1 t=4047
na me 	那麼	c=4 d=2.18132 t=3117
na me gao 	那麼高	c=1 d=1 t=647
na yang 	那樣	c=1 d=1 t=1305
na zhong 	那種	c=1 d=1.09704 t=1288
na zhong di fang 	那種地方	c=1 d=1 t=1283
nan 	難	c=1 d=1 t=1079
nan dao 	難道	c=1 d=1 t=2279
nan dian 	難點	c=5 d=1.05627 t=4258
nan ji zhou 	南極洲	c=1 d=1 t=1387
nan shou 	難受	c=3 d=1.27408 t=2550
nan xun da dao 	南熏大道	c=1 d=1 t=315
nan yi jie shou 	難以接受	c=1 d=1 t=2765
nan yi xia yan 	难以下咽	c=1 d=1 t=2169
nan yu 	難於	c=1 d=1 t=707
nao 	腦	c=1 d=1 t=2650
ne 	呢	c=6 d=1.00001 t=4580
nei cun 	內存	c=1 d=1 t=4069
nei neng 	內能	c=0 d=0.1 t=1346
nei rong 	內容	c=5 d=1.06555 t=4311
nei xin 	內心	c=0 d=0.1 t=1587
neng 	能	c=7 d=2.08381 t=4248
neng gou 	能夠	c=2 d=1.00088 t=4570
neng li 	能力	c=3 d=2.226 t=1174
neng shuo 	能說	c=0 d=0.1 t=1298
ni 	你	c=17 d=1.52055 t=4629
ni 	呢	c=1 d=1 t=4386
ni 	妳	c=6 d=2.77944 t=4573
ni 	泥	c=1 d=0.932394 t=4629
ni de 	你的	c=2 d=1 t=4602
ni hao 	你好	c=78 d=9.87398 t=4629
ni hao 	妮好	c=1 d=1 t=4354
ni hao kan guo 	你好看過	c=1 d=1 t=1362
ni kan guo tian ma 	你看過天馬	c=1 d=1 t=1363
ni mei you 	你沒有	c=1 d=0.909373 t=4629
ni mei you shuo shen me 	你沒有說什麼	c=1 d=1 t=71
ni mei you zhe yang guo 	你沒有這楊過	c=1 d=1 t=1357
ni men 	你們	c=1 d=1 t=3817
ni neng 	你能	c=1 d=1 t=1522
ni ru guo shi yin wei 	你如果是因爲	c=1 d=1 t=1324
ni shi 	你是	c=2 d=1.9802 t=863
ni shi bu shi 	你是不是	c=1 d=1 t=1312
ni shuo 	你說	c=1 d=1 t=4380
ni shuo ne 	你說呢	c=2 d=1.0017 t=1310
ni shuo wei sha ne me 	你說爲啥呢麼	c=1 d=1 t=1279
ni tao bu diao 	你逃不掉	c=1 d=1 t=1515
ni ting 	你聽	c=0 d=0.0995012 t=4629
ni ting shuo le 	你聽說了	c=1 d=1 t=4629
ni ting shuo le ma 	你聽說了嗎	c=2 d=1.9802 t=55
ni xi 	逆襲	c=1 d=1 t=1480
ni xian zai 	你现在	c=1 d=1 t=1269
ni xiang 	你想	c=1 d=1 t=1311
ni yao 	你要	c=2 d=1.99501 t=4582
ni zai 	你在	c=1 d=1 t=4562
ni zai zhe er 	你在這兒	c=0 d=0.0918512 t=4629
ni zai zhe er li ma 	你在這兒立馬	c=1 d=0.923116 t=4629
ni zai zhe li 	你在這裏	c=1 d=1 t=1260
nian 	年	c=2 d=1.00737 t=1830
nian ling 	年齡	c=0 d=0.1 t=1024
nian ling da 	年齡大	c=1 d=1 t=1025
nian qing shi 	年輕時	c=1 d=1 t=1086
niu nai 	牛奶	c=1 d=1 t=438
nong she 	農舍	c=1 d=1.00002 t=3010
nong she tou 	農舍頭	c=1 d=1 t=1343
nu li 	努力	c=1 d=1 t=938
nu li 	奴隸	c=1 d=1 t=928
o 	哦	c=3 d=0.939457 t=4256
ou 	偶	c=0 d=0.1 t=3011
p y t h o n 	Python	c=3 d=1 t=4033
pa 	怕	c=2 d=1.01046 t=1237
pai 	排	c=1 d=1 t=3351
pai chu 	排出	c=1 d=1 t=260
pai ren 	派人	c=1 d=1 t=889
pai xu 	排序	c=11 d=3.58189 t=3518
pai zhao 	拍照	c=2 d=1.99005 t=273
pan 	盤	c=4 d=2.93124 t=3682
pan duan 	判斷	c=2 d=1.00001 t=3688
pang guang 	膀胱	c=1 d=1 t=931
pao 	跑	c=1 d=1 t=430
pao kai 	拋開	c=1 d=1 t=1487
pei se 	配色	c=1 d=1 t=47
pei wo 	陪我	c=1 d=0.882497 t=4629
pei xun 	培訓	c=1 d=1 t=1020
pei xun ban 	培訓班	c=1 d=1 t=1211
pei yang 	培養	c=1 d=1 t=894
pei yang mu biao 	培養目標	c=0 d=0.1 t=1238
pei yang mu biao shi 	培養目標是	c=1 d=1 t=1239
pei zhi 	配置	c=5 d=1.04339 t=4529
pei zhi tiao zheng 	配置調整	c=1 d=1 t=4363
peng ren 	烹飪	c=1 d=1 t=2908
peng you 	朋友	c=9 d=2.84048 t=4629
pi pei 	匹配	c=2 d=1.48919 t=262
pi ping 	批評	c=0 d=0.1 t=512
pi ping wo 	批評我	c=1 d=1 t=513
pi xian 	皮線	c=2 d=1.99005 t=3691
pian ju 	騙局	c=1 d=1 t=1982
pian yuan 	偏遠	c=1 d=1 t=4423
piao liang 	漂亮	c=1 d=1 t=1180
pin lv 	頻率	c=5 d=1 t=4029
pin ming 	拼命	c=1 d=1 t=784
pin yin 	拼音	c=4 d=1.81465 t=4368
ping guo 	蘋果	c=1 d=1 t=385
ping jia 	評價	c=0 d=0.1 t=430
ping jing 	瓶頸	c=0 d=0.1 t=703
ping jing qi 	瓶頸期	c=1 d=1 t=704
po chan 	破產	c=1 d=1.05123 t=528
po jie 	破解	c=1 d=1 t=4231
po jie ban 	破解版	c=3 d=1.05788 t=4036
pu tong 	普通	c=6 d=1.00003 t=4443
qi 	其	c=0 d=0.1 t=674
qi 	器	c=3 d=1.12231 t=3874
qi 	期	c=0 d=0.1 t=703
qi ba nian 	七八年	c=1 d=1 t=2721
qi che 	汽車	c=1 d=1 t=577
qi dai 	期待	c=1 d=1 t=2354
qi dong 	啓動	c=3 d=1.95072 t=3862
qi dong jiao ben 	啓動腳本	c=1 d=1 t=3663
qi dong xiang mu 	啓動項目	c=1 d=1 t=600
qi fu 	欺負	c=1 d=1 t=807
qi guai 	奇怪	c=1 d=1 t=2382
qi lai 	起來	c=1 d=1 t=2424
qi le 	起了	c=0 d=0.1 t=495
qi miao 	奇妙	c=1 d=0.132065 t=2487
qi mo kao shi 	期末考試	c=1 d=1 t=1155
qi pian 	欺騙	c=0 d=0.1 t=1485
qi pian zi ji 	欺騙自己	c=1 d=1 t=1486
qi quan 	期權	c=1 d=1 t=843
qi shi 	歧視	c=1 d=1 t=698
qi shi 	騎士	c=1 d=1.09501 t=1390
qi ta 	其他	c=3 d=1.04957 t=3419
qi wang 	期望	c=1 d=1.00939 t=1665
qi ye 	企業	c=3 d=2.65431 t=823
qi yong 	啓用	c=1 d=1 t=3928
qi zhong 	其中	c=1 d=1 t=3784
qian 	前	c=5 d=1.9729 t=4498
qian 	錢	c=2 d=1.00103 t=2213
qian bi yin 	前鼻音	c=1 d=1 t=4493
qian dao 	簽到	c=3 d=2.98506 t=3797
qian duo 	錢多	c=1 d=1 t=1045
qian hou 	前後	c=1 d=1 t=4466
qian lie xian 	前列腺	c=1 d=1 t=961
qian mian 	前面	c=1 d=1 t=4444
qian shou 	牽手	c=1 d=1 t=274
qian shou 	簽收	c=1 d=1 t=275
qian tai 	前臺	c=1 d=1 t=3424
qian tao 	嵌套	c=1 d=1 t=3398
qian yi 	遷移	c=3 d=1.89344 t=3238
qian zai 	潛在	c=1 d=1 t=1603
qian zhao 	千兆	c=1 d=1 t=4090
qian zhui 	前綴	c=0 d=0.1 t=3699
qiang 	強	c=1 d=1 t=4001
qiang bi 	牆壁	c=1 d=1 t=570
qiang fan wan 	搶飯碗	c=1 d=1 t=1214
qiang mian 	牆面	c=2 d=1.00001 t=2792
qiang zhi 	強制	c=1 d=1 t=3923
qiao jie 	橋接	c=2 d=2.04099 t=3915
qiao jie hou 	橋接後	c=1 d=1 t=3916
qie huan 	切換	c=1 d=1 t=4326
qin fen 	勤奮	c=1 d=1 t=1130
qin qi 	親戚	c=3 d=1.33476 t=454
qing 	請	c=1 d=1 t=2043
qing chu 	清除	c=1 d=1 t=3764
qing hua 	清華	c=3 d=1.00542 t=1938
qing qiu 	請求	c=1 d=1 t=4098
qing shang 	情商	c=0 d=0.1 t=730
qing song 	輕鬆	c=0 d=0.1 t=978
qing ting 	蜻蜓	c=1 d=1 t=1433
qing xing 	清醒	c=1 d=1 t=1557
qiu 	求	c=2 d=1.98511 t=284
qiu 	球	c=1 d=1 t=2795
qiu ye yuan 	秋葉原	c=2 d=1.99501 t=4086
qu 	去	c=3 d=2.0938 t=2906
qu 	取	c=2 d=1.96561 t=201
qu diao 	去掉	c=1 d=1 t=3391
qu diao kong ge 	去掉空格	c=1 d=1 t=233
qu dong 	驅動	c=1 d=1 t=765
qu guo 	去過	c=1 d=1.09704 t=1287
qu jian 	區間	c=1 d=1 t=657
qu xian 	曲線	c=1 d=1 t=4016
qu xiang yu 	趋向于	c=1 d=1 t=782
qu xiao 	取消	c=1 d=1 t=589
quan bu 	全部	c=2 d=1 t=4495
quan ji 	全集	c=1 d=1 t=3870
quan jiao 	全角	c=1 d=1 t=4374
quan ju 	全局	c=1 d=1 t=559
que 	卻	c=1 d=1 t=2144
que bao 	確保	c=1 d=1 t=3792
que fa 	缺乏	c=1 d=1 t=745
que qian 	缺錢	c=1 d=1 t=2195
que shi 	確實	c=1 d=1 t=2323
ran 	然	c=1 d=1 t=1928
ran er 	然而	c=2 d=1.00592 t=2359
ran hou 	然後	c=7 d=1.11082 t=4594
rang 	讓	c=5 d=2.02823 t=3807
rang ren 	讓人	c=4 d=1.22678 t=2764
rang wo 	讓我	c=2 d=1.08629 t=2825
re ai 	熱愛	c=0 d=0.1 t=1424
re du 	熱度	c=0 d=0.1 t=1146
re du gao 	熱度高	c=1 d=1 t=1147
re men 	熱門	c=1 d=1 t=1065
ren 	人	c=8 d=0.0873716 t=4629
ren 	任	c=1 d=1 t=4392
ren cai 	人才	c=2 d=0.335313 t=1140
ren ci 	人次	c=1 d=1 t=819
ren ci 	仁慈	c=1 d=1 t=825
ren de 	人的	c=3 d=1.93707 t=4557
ren gong 	人工	c=1 d=1 t=1741
ren he 	任何	c=2 d=1.0049 t=2874
ren he ren 	任何人	c=1 d=1 t=1808
ren he yi ge hang ye 	任何一個行業	c=1 d=1 t=1040
ren qian 	人前	c=0 d=0.1 t=1299
ren qing chu 	認清楚	c=1 d=1 t=1518
ren ren 	人人	c=1 d=1 t=1599
ren sheng 	人生	c=7 d=1.00248 t=3085
ren shi 	認識	c=1 d=1 t=2155
ren si 	人死	c=0 d=0.1 t=907
ren si ru deng mie 	人死如燈滅	c=1 d=1 t=908
ren wen 	人文	c=10 d=9.16862 t=1935
ren xing 	人性	c=1 d=1 t=4547
ren zao 	人造	c=0 d=0.1 t=1256
ren zao ke xue 	人造科學	c=1 d=1 t=1257
ren zhi 	認知	c=1 d=1 t=1978
ri ben 	日本	c=1 d=1 t=2670
ri qi 	日期	c=1 d=1 t=3114
rong 	蓉	c=1 d=1 t=1420
rong he 	融合	c=0 d=0.1 t=345
rong he le 	融合了	c=1 d=1 t=346
rong jie 	溶解	c=1 d=1 t=2982
rong liang 	容量	c=2 d=1.91851 t=3752
rong yi 	容易	c=1 d=1 t=696
ru 	如	c=4 d=0.364157 t=907
ru chang 	入場	c=1 d=1 t=3965
ru ci 	如此	c=3 d=1.33655 t=2410
ru guo 	如果	c=5 d=1.75034 t=3641
ru guo shi 	如果是	c=0 d=0.1 t=1323
ru he 	如何	c=18 d=1.49912 t=4531
ru he ding 	如何定	c=1 d=1 t=1664
ru he ping jia 	如何評價	c=2 d=1.00657 t=1436
ru he po chan 	如何破產	c=1 d=1 t=529
ru he xiu gai 	如何修改	c=1 d=1 t=400
ru men 	入門	c=2 d=1.83946 t=1019
ru tong 	如同	c=1 d=1 t=2977
ru yi zhuan 	如懿傳	c=1 d=1 t=370
ru yue 	如約	c=1 d=1 t=2273
ruan 	軟	c=0 d=0.1 t=467
ruan jian 	軟件	c=2 d=1 t=4234
ruan lu you 	軟路由	c=4 d=3.31278 t=563
run 	潤	c=1 d=1 t=1768
ruo 	弱	c=2 d=1.99005 t=4000
ruo 	若	c=2 d=1 t=4056
san 	三	c=1 d=1 t=574
san bu 	散步	c=2 d=1.13134 t=2878
san fang 	三方	c=1 d=1 t=3360
san ge 	三個	c=1 d=1 t=2794
san nian 	三年	c=1 d=1 t=2709
san shi 	三十	c=1 d=1 t=1217
san wan 	三萬	c=1 d=1 t=3086
se 	色	c=1 d=1 t=1943
sha 	傻	c=1 d=1 t=1148
sha che 	剎車	c=3 d=2.94099 t=4201
sha le 	殺了	c=1 d=1 t=777
shan chu 	刪除	c=13 d=1.63317 t=4274
shang 	上	c=5 d=1.00052 t=4627
shang 	傷	c=2 d=1.98511 t=933
shang ban 	上班	c=0 d=0.1 t=788
shang ban lei 	上班累	c=1 d=1 t=789
shang bu liao 	上不了	c=0 d=0.1 t=475
shang bu liao wang 	上不了網	c=1 d=1 t=476
shang chuan 	上傳	c=7 d=2.32307 t=3774
shang ci 	上次	c=2 d=1.93239 t=3760
shang dian 	商店	c=1 d=1 t=622
shang lai 	上來	c=1 d=1 t=2745
shang lai jiang 	上來講	c=1 d=1 t=4549
shang mian 	上面	c=2 d=1.01216 t=3572
shang shu 	上述	c=1 d=1 t=2045
shang wan 	上萬	c=1 d=1 t=2220
shang wang 	上網	c=1 d=1 t=2142
shang xian 	上限	c=1 d=1 t=485
shang ye 	商業	c=9 d=2.50364 t=2931
shao 	少	c=1 d=0.262838 t=1042
shao le 	少了	c=1 d=1 t=2953
shao ni 	少你	c=1 d=1 t=803
shao shu 	少數	c=1 d=1 t=808
she bei 	設備	c=3 d=1.00008 t=3679
she ce yin 	舌側音	c=1 d=1 t=4503
she hui 	社會	c=3 d=1.00964 t=1884
she ji 	設計	c=0 d=0.1 t=1034
she ji xi tong 	設計系統	c=1 d=1 t=1035
she ke 	社科	c=3 d=2.55383 t=1902
she pin 	射頻	c=1 d=1 t=564
she tou 	舌頭	c=1 d=1 t=1322
she ying 	攝影	c=1 d=1 t=388
she zhi 	設置	c=14 d=1.24154 t=4615
shei 	誰	c=1 d=1 t=1805
shei you 	誰有	c=0 d=0.1 t=1298
shei you neng shuo 	誰有能說	c=1 d=1 t=1299
shen 	神	c=0 d=0.1 t=1160
shen 	腎	c=1 d=1 t=934
shen du 	深度	c=2 d=1.99501 t=433
shen fu 	身負	c=1 d=1 t=1611
shen lan 	深藍	c=1 d=1 t=462
shen me 	什麼	c=10 d=2.36958 t=3850
shen me shi hou 	什麼時候	c=1 d=1 t=653
shen me yong 	什麼用	c=1 d=1 t=229
shen ti 	身體	c=1 d=1.08511 t=1498
sheng 	生	c=0 d=0.1 t=79
sheng bing 	生病	c=0 d=0.1 t=902
sheng bing le 	生病了	c=1 d=1 t=903
sheng bu ru si 	生不如死	c=1 d=1 t=1244
sheng cheng 	生成	c=9 d=4.81701 t=4343
sheng huo 	生活	c=10 d=5.3229 t=2289
sheng huo zai 	生活在	c=1 d=1 t=2285
sheng huo zhong 	生活中	c=0 d=0.1 t=1815
sheng men 	聲門	c=1 d=1 t=4486
sheng ming 	生命	c=3 d=1.00003 t=4032
sheng ming zhi xu 	生命秩序	c=1 d=1 t=1800
sheng wu 	生物	c=1 d=1 t=1934
sheng ya 	生涯	c=4 d=3.3346 t=1907
sheng yin 	聲音	c=5 d=1.82915 t=3969
shi 	事	c=1 d=1 t=1505
shi 	式	c=2 d=1.00002 t=3081
shi 	是	c=35 d=1.89954 t=4629
shi 	時	c=17 d=3.00409 t=4043
shi a 	是啊	c=1 d=1 t=66
shi bu shi 	是不是	c=3 d=1.00035 t=4577
shi ci 	詩詞	c=2 d=1.5975 t=289
shi dai 	時代	c=1 d=1 t=1191
shi dao 	世道	c=1 d=1 t=1544
shi de 	使得	c=1 d=1 t=1339
shi de ne 	是的呢	c=1 d=1 t=1361
shi du 	溼度	c=1 d=1 t=579
shi er ling lu 	十二岭路	c=1 d=1 t=206
shi er xiao shi 	十二小時	c=1 d=1 t=1151
shi fou 	是否	c=2 d=1 t=3762
shi fou shi 	是复势	c=1 d=1 t=3669
shi ge 	是個	c=0 d=0.1 t=793
shi guo 	試過	c=1 d=1 t=3815
shi hou 	時候	c=1 d=1 t=2596
shi hu 	似乎	c=1 d=1 t=2461
shi hu shi 	似乎是	c=2 d=1.00004 t=3845
shi ji 	實際	c=0 d=0.1 t=976
shi jian 	時間	c=8 d=1.00296 t=4122
shi jian jiao nang 	時間膠囊	c=2 d=1.8825 t=609
shi jian jie shu 	時間結束	c=1 d=1 t=1456
shi jian liu dong 	時間流動	c=1 d=1 t=1838
shi jie 	世界	c=2 d=0.143583 t=2487
shi jie qi miao 	世界奇妙	c=1 d=1 t=2488
shi li xia jiang 	視力下降	c=1 d=1 t=1149
shi ling 	失靈	c=1 d=1 t=2698
shi ma 	是嗎	c=10 d=0.99005 t=4629
shi nei neng 	是內能	c=1 d=1 t=1347
shi ni o 	是你哦	c=1 d=1 t=1342
shi pin 	視頻	c=1 d=1 t=4035
shi qi 	時期	c=1 d=1 t=676
shi ran 	使然	c=1 d=1 t=2331
shi shen me 	是什麼	c=9 d=1.49645 t=4461
shi shen me xiao guo 	是什麼效果	c=1 d=1 t=4120
shi shi 	事實	c=1 d=1 t=1548
shi shi 	實時	c=1 d=0.1 t=3887
shi shi geng xin 	實時更新	c=1 d=1 t=3888
shi wei 	視爲	c=1 d=1 t=1602
shi wu 	事物	c=1 d=1 t=2628
shi wu 	食物	c=2 d=1.75578 t=2967
shi wu de 	事物的	c=1 d=1 t=1170
shi xian 	實現	c=3 d=2.16559 t=3530
shi xian jie ji de 	實現階級的	c=1 d=1 t=714
shi xiao 	失效	c=3 d=2.1115 t=4396
shi xiao 	時效	c=1 d=1 t=1084
shi ye 	事業	c=2 d=1.956 t=1758
shi yi zhong 	是一種	c=2 d=1.98511 t=3157
shi yi zhong ze ren 	是一種責任	c=1 d=1 t=898
shi yong 	使用	c=11 d=1.39051 t=4552
shi yong 	食用	c=2 d=1.96561 t=2914
shi zhe yang a 	是這樣啊	c=1 d=1 t=1355
shi zhi 	十指	c=1 d=1 t=2566
shi zhong 	始終	c=1 d=1 t=2774
shi zhong 	適中	c=1 d=1 t=1661
shi zuo 	視作	c=1 d=1 t=1528
shou 	受	c=1 d=1 t=697
shou 	手	c=1 d=1 t=2106
shou dong 	手動	c=4 d=1.00001 t=3726
shou dong she zhi 	手動設置	c=1 d=1 t=505
shou gao 	手稿	c=1 d=1 t=851
shou hu 	守護	c=2 d=1.99005 t=4102
shou ji 	手机	c=1 d=1 t=4534
shou ji 	收集	c=2 d=1.10487 t=3092
shou ji duan 	手机端	c=1 d=1 t=1453
shou ru 	收入	c=1 d=1 t=896
shou shang 	手上	c=1 d=1 t=2688
shou xian 	首先	c=2 d=1.09489 t=3535
shou xie 	手寫	c=1 d=1 t=2036
shou yi 	手藝	c=1 d=1 t=683
shu 	書	c=1 d=1 t=2893
shu 	樹	c=1 d=1.01287 t=4281
shu biao 	鼠標	c=1 d=1.07045 t=435
shu chu 	輸出	c=3 d=1 t=4019
shu fa 	書法	c=1 d=1 t=1922
shu ji 	書籍	c=2 d=1.99005 t=2646
shu ju 	數據	c=2 d=1.03159 t=1434
shu ju wa jue 	數據挖掘	c=1 d=1 t=740
shu qian 	書籤	c=1 d=1 t=2590
shu ru 	輸入	c=1 d=1 t=4605
shu ru ru 	輸入如	c=1 d=1 t=150
shu ru shu chu 	輸入輸出	c=1 d=1 t=231
shu xing 	屬性	c=3 d=2.51982 t=2123
shu xu guan 	鼠鬚管	c=9 d=1 t=4317
shu xue 	數學	c=13 d=2.83899 t=3739
shu xue ci hui 	數學詞彙	c=1 d=1 t=336
shu yu 	屬於	c=2 d=1.92312 t=1899
shu zhi 	熟知	c=1 d=1 t=2418
shu zhong zi you 	書中自有	c=1 d=1 t=792
shu zi 	數字	c=4 d=1 t=3387
shu zu 	數組	c=21 d=2.36405 t=4309
shua 	刷	c=1 d=0.531711 t=3838
shua cuo 	刷錯	c=2 d=1.99786 t=3807
shua cuo le 	刷錯了	c=1 d=1 t=3808
shua jin qu le 	刷進去了	c=1 d=1 t=3839
shuai jian 	衰減	c=1 d=1 t=4089
shuang 	雙	c=4 d=1.08128 t=4194
shuang ceng 	雙層	c=1 d=1 t=3394
shuang jian 	雙肩	c=1 d=1 t=2520
shuang jie gun 	雙節棍	c=1 d=1 t=445
shuang tui 	雙腿	c=1 d=1 t=2525
shuang xiu ri 	雙休日	c=1 d=1 t=805
shui jiao 	睡覺	c=1 d=1 t=2736
shui mian 	睡眠	c=4 d=2.91211 t=2718
shui yin 	水印	c=0 d=0.1 t=1794
shun chang 	順暢	c=1 d=1 t=1566
shun xu 	順序	c=3 d=0.737957 t=3736
shuo 	說	c=2 d=1.72253 t=2497
shuo de 	說的	c=1 d=1 t=407
shuo hua 	說話	c=1 d=1 t=1261
shuo le 	說了	c=0 d=0.0995012 t=4629
shuo ming 	說明	c=1 d=1 t=2044
shuo ni mei 	說你妹	c=0 d=0.1 t=59
shuo ni mei jian guo 	說你妹見過	c=1 d=1 t=60
shuo shen me 	說什麼	c=0 d=0.1 t=70
si 	四	c=1 d=1 t=3512
si chuan 	四川	c=5 d=2.96806 t=4505
si kai 	四開	c=1 d=1 t=573
si ma yi 	司马懿	c=1 d=1 t=3736
si ren 	死人	c=1 d=1 t=971
si shi 	四十	c=1 d=1 t=1219
si wa 	絲襪	c=1 d=1.1 t=2136
si wang kou 	四网口	c=1 d=1 t=562
si wang lv 	死亡率	c=1 d=1 t=646
si wei 	思維	c=0 d=0.1 t=1249
si xiang 	思想	c=1 d=1 t=2846
song 	送	c=1 d=1 t=3953
song dong 	鬆動	c=1 d=1 t=3954
sou dao 	搜到	c=1 d=1 t=3957
sou gou 	搜狗	c=8 d=4.03252 t=376
sou suo 	搜索	c=2 d=1 t=4604
su di 	速遞	c=1 d=1 t=3648
su du 	速讀	c=2 d=1.03707 t=4066
su lv 	速率	c=1 d=1 t=4051
suan 	酸	c=4 d=3.46452 t=2570
suan fa 	算法	c=3 d=1.00001 t=3346
suan li 	算力	c=1 d=1 t=1957
suan zuo 	算作	c=1 d=1 t=2593
sui 	歲	c=2 d=1.18087 t=1101
sui 	隨	c=2 d=1 t=2884
sui yi 	隨意	c=2 d=1.94176 t=3164
sui yue 	歲月	c=0 d=0.1 t=913
sui yue jing hao 	歲月靜好	c=1 d=1 t=914
sun huai 	損壞	c=1 d=1 t=3852
suo 	縮	c=1 d=1 t=165
suo pin 	鎖頻	c=1 d=1 t=1445
suo wei de 	所謂的	c=1 d=1 t=1556
suo xing 	所幸	c=1 d=1 t=1591
suo yi 	所以	c=6 d=1.35229 t=3790
suo yi yao zhe yang 	所以要這樣	c=1 d=1 t=1327
suo yin 	索引	c=2 d=1.956 t=3618
suo you 	所有	c=4 d=1.00037 t=3185
suo you cun zai 	所有存在	c=1 d=1 t=1601
suo you ren 	所有人	c=1 d=1 t=2190
suo you wen jian 	所有文件	c=1 d=1 t=294
suo zai 	所在	c=1 d=1 t=4613
ta 	他	c=2 d=1 t=4527
ta 	它	c=5 d=1.30202 t=4569
ta 	踏	c=2 d=1.99501 t=4332
ta de 	它的	c=1 d=1 t=595
ta men 	他們	c=2 d=1.00333 t=2665
ta ren 	他人	c=3 d=2.87912 t=1628
tai 	太	c=2 d=1.86936 t=796
tai an she gou 	泰安社区	c=1 d=1 t=3668
tai di 	太低	c=2 d=1.08982 t=1668
tai du 	態度	c=1 d=1 t=644
tai duo 	太多	c=2 d=1.22878 t=921
tai gao 	太高	c=2 d=1.02436 t=1662
tai lei 	太累	c=0 d=0.1 t=1186
tai nan 	太難	c=1 d=1 t=993
tai shao 	太少	c=0 d=0.1 t=1176
tai yang 	太陽	c=0 d=0.1 t=1989
tai yang dang kong zhao 	太陽當空照	c=1 d=1 t=1990
tan 	談	c=2 d=0.276528 t=1324
tan bu tong 	談不同	c=1 d=1 t=1325
tan lan 	貪婪	c=1 d=1 t=339
tan tan 	談談	c=1 d=1 t=2077
tan yu 	貪慾	c=1 d=1 t=1614
tao 	套	c=0 d=0.1 t=4404
tao bao 	淘寶	c=1 d=1 t=3867
tao bi 	逃避	c=1 d=1 t=2609
tao bu diao 	逃不掉	c=0 d=0.1 t=1514
tao jian 	套件	c=1 d=1 t=425
tao xin 	桃心	c=1 d=1 t=1386
